Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24
<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;;;;;;;;;;;;;;;;;;
ships/uss_cv_immortal_0;USS Immortal;Carrier;航空母舰;5;n;;;;;;;;;;;;;;;;;;
ships/uss_cv_immortal_1;USS Immortal;Carrier;航空母舰;5;n;;;;;;;;;;;;;;;;;;
ships/uss_cv_immortal_2;Carrier;Carrier;航空母舰;same;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_light_0;Landing Craft VP;Landing craft;登陆艇;3;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_light_1;LLCVP⋔;Landing craft;登陆艇;-7;n;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_light_2;LLCVP⋔;Landing craft;登陆艇;-7;n;;;;;;;;;;;;;;;;;;
tracked_vehicles/ussr_t34_85_increased_pitch_0;T-34-85;Tank;坦克;3;n;;;;;;;;;;;;;;;;;;
tracked_vehicles/ussr_t34_85_increased_pitch_1;T-34-85;Tank;坦克;3;n;;;;;;;;;;;;;;;;;;
tracked_vehicles/ussr_t34_85_increased_pitch_2;Tank;Tank;坦克;same;n;;;;;;;;;;;;;;;;;;
air_defence/searchLightTop_0;Search light;Search light;探照灯;same;n;;;;;;;;;;;;;;;;;;
air_defence/searchLightTop_1;Search light;Search light;探照灯;same;n;;;;;;;;;;;;;;;;;;
air_defence/searchLightTop_2;Search light;Search light;探照灯;same;n;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_searchlight_top_0;Tirpitz▉;Battleship;战列舰;-2;n;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_searchlight_top_1;Tirpitz▉;Battleship;战列舰;-2;n;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_searchlight_top_2;Battleship;Battleship;战列舰;same;n;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_searchlight_top_0;Z 28 1936A▉;Destroyer;驱逐舰;2;n;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_searchlight_top_1;Z 28 1936A▉;Destroyer;驱逐舰;2;n;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_searchlight_top_2;Destroyer;Destroyer;驱逐舰;same;n;;;;;;;;;;;;;;;;;;
wheeled_vehicles/truck_arcade_0;Cargo truck;Cargo truck;货车;same;n;;;;;;;;;;;;;;;;;;
wheeled_vehicles/truck_arcade_1;╪⛟;Truck;货车;-3;n;;;;;;;;;;;;;;;;;;
wheeled_vehicles/truck_arcade_2;╪⛟;Truck;货车;-3;n;;;;;;;;;;;;;;;;;;
ships/cargo_ship_arcade_0;Cargo ship;Cargo ship;货船;same;n;;;;;;;;;;;;;;;;;;
ships/cargo_ship_arcade_1;Cargo ship;Cargo ship;货船;same;n;;;;;;;;;;;;;;;;;;
ships/cargo_ship_arcade_2;Cargo⋒;Ship;货船;2;n;;;;;;;;;;;;;;;;;;
